date,weather,weather_avccuracy,weather_kinshitu,rain,rain_non,rain_accuracy,rain_kinshitu,sun,sun_non,sun_accuracy,sun_kinshitu
2019/1/30,薄曇後晴,8,1,0,1,8,1,6.2,0,8,1
2019/1/31,曇時々雨,8,1,13.5,0,8,1,0.6,0,8,1
2019/2/1,晴,8,1,0,1,8,1,9.8,0,8,1
2019/2/2,晴,8,1,0,1,8,1,10.1,0,8,1
2019/2/3,晴後一時曇,8,1,0,1,8,1,9.4,0,8,1
2019/2/4,晴一時曇,8,1,0.0,0,8,1,7.9,0,8,1
2019/2/5,曇後時々雨,8,1,0.0,0,8,1,0.0,0,8,1
2019/2/6,雨一時曇時々晴,8,1    ,5.5,0,8,1,0.6,0,8,1
2019/2/7,晴時々曇,8,1,0,1,8,1,6.9,0,8,1
2019/2/8,曇時々晴,8,1,0,1,8,1,3.8,0,8,1
2019/2/9,雪後曇時々みぞれ,8,1,2.5,0,8,1,0.0,0,8,1
2019/2/10,晴一時曇,8,1,0.0,0,8,1,7.8,0,8,1
2019/2/11,曇一時雪,8,1,0.0,0,8,1,0.0,0,8,1
2019/2/12,曇時々晴,8,1,0.0,0,8,1,4.2,0,8,1
2019/2/13,曇後時々晴,8,1,0.0,0,8,1,1.8,0,8,1
2019/2/14,曇時々晴,8,1,0,1,8,1,3.2,0,8,1
2019/2/15,曇一時雪時々みぞれ,8,1,0.5,0,8,1,0.3,0,8,1
2019/2/16,曇時々晴,8,1,0.0,0,8,1,4.9,0,8,1
2019/2/17,晴時々曇,8,1,0,1,8,1,4.3,0,8,1
2019/2/18,晴,8,1,0,1,8,1,10.3,0,8,1
2019/2/19,曇後時々雨,8,1,2.0,0,8,1,0.0,0,8,1
2019/2/20,晴後一時曇,8,1,5.5,0,8,1,7.6,0,8,1
2019/2/21,曇時々晴,8,1,0.5,0,8,1,2.4,0,8,1
2019/2/22,晴時々曇,8,1,0.0,0,8,1,6.7,0,8,1
2019/2/23,晴時々曇,8,1,0.0,0,8,1,7.3,0,8,1
2019/2/24,晴後一時曇,8,1,0,1,8,1,9.0,0,8,1
2019/2/25,雨時々晴後曇,8,1,0.0,0,8,1,3.5,0,8,1
2019/2/26,晴時々雨後曇,8,1,0.0,0,8,1,2.0,0,8,1
2019/2/27,曇一時晴後一時雨,8,1,2.5,0,8,1,0.4,0,8,1
2019/2/28,雨,8,1,29.5,0,8,1,0.0,0,8,1
2019/3/1,曇時々雨,8,1,3.0,0,8,1,0.0,0,8,1
2019/3/2,晴後一時曇,8,1,0,1,8,1,9.4,0,8,1
2019/3/3,雨,8,1,10.0,0,8,1,0.0,0,8,1
2019/3/4,雨,8,1,19.5,0,8,1,0.0,0,8,1
2019/3/5,晴一時曇,8,1,0.5,0,8,1,9.0,0,8,1
2019/3/6,曇後一時雨,8,1,2.5,0,8,1,0.0,0,8,1
2019/3/7,雨後一時曇,8,1,22.5,0,8,1,0.0,0,8,1
2019/3/8,晴,8,1,0,1,8,1,11.3,0,8,1
2019/3/9,晴,8,1,0,1,8,1,11.1,0,8,1
2019/3/10,曇一時晴後一時雨,8,1,7.0,0,8,1,3.1,0,8,1
2019/3/11,雨時々曇後晴,8,1,28.5,0,8,1,5.3,0,8,1
2019/3/12,晴,8,1,0,1,8,1,11.0,0,8,1
2019/3/13,晴,8,1,0,1,8,1,11.4,0,8,1
2019/3/14,晴,8,1,0,1,8,1,10.9,0,8,1
2019/3/15,晴後一時曇,8,1,0,1,8,1,9.7,0,8,1
2019/3/16,曇時々晴一時雨,8,1,0.0,0,8,1,3.3,0,8,1
2019/3/17,晴後一時曇,8,1,0,1,8,1,9.8,0,8,1
2019/3/18,晴,8,1,0,1,8,1,10.3,0,8,1
2019/3/19,曇時々晴,8,1,0,1,8,1,3.0,0,8,1
2019/3/20,晴,8,1,0,1,8,1,11.2,0,8,1
2019/3/21,雨時々晴後曇,8,1,0.0,0,8,1,3.4,0,8,1
2019/3/22,曇時々晴,8,1,0,1,8,1,6.7,0,8,1
2019/3/23,雨後一時曇,8,1,1.0,0,8,1,0.0,0,8,1
2019/3/24,晴,8,1,0,1,8,1,11.7,0,8,1
2019/3/25,晴時々曇,8,1,0,1,8,1,7.9,0,8,1
2019/3/26,雨時々曇後晴,8,1,1.5,0,8,1,3.8,0,8,1
2019/3/27,晴,8,1,0,1,8,1,10.7,0,8,1
2019/3/28,曇時々晴,8,1,0.0,0,8,1,4.2,0,8,1
2019/3/29,曇時々雨,8,1,0.0,0,8,1,0.0,0,8,1
2019/3/30,曇,8,1,4.0,0,8,1,0.6,0,8,1
2019/3/31,雨時々曇後晴,8,1,1.0,0,8,1,5.9,0,8,1
2019/4/1,晴時々曇後雨,8,1,2.5,0,8,1,5.6,0,8,1
2019/4/2,晴一時曇後一時雨,8,1,0.0,0,8,1,8.2,0,8,1
2019/4/3,晴,8,1,0,1,8,1,11.9,0,8,1
2019/4/4,晴,8,1,0,1,8,1,11.8,0,8,1
2019/4/5,晴,8,1,0,1,8,1,11.0,0,8,1
2019/4/6,晴,8,1,0,1,8,1,11.0,0,8,1
2019/4/7,晴,8,1,0,1,8,1,10.0,0,8,1
2019/4/8,雨時々晴後曇,8,1,11.5,0,8,1,1.6,0,8,1
2019/4/9,晴後一時曇,8,1,0,1,8,1,9.4,0,8,1
2019/4/10,雨,8,1,26.0,0,8,1,0.0,0,8,1
2019/4/11,晴後時々曇,8,1,0.0,0,8,1,9.3,0,8,1
2019/4/12,曇時々雨,8,1,0.0,0,8,1,0.2,0,8,1
2019/4/13,晴,8,1,0,1,8,1,12.1,0,8,1
2019/4/14,曇時々晴,8,1,0.0,0,8,1,4.0,0,8,1
2019/4/15,晴一時曇,8,1,10.0,0,8,1,7.0,0,8,1
2019/4/16,晴,8,1,0,1,8,1,12.4,0,8,1
2019/4/17,曇,8,1,0,1,8,1,0.6,0,8,1
2019/4/18,晴一時曇,8,1,0,1,8,1,10.3,0,8,1
2019/4/19,晴後一時曇,8,1,0.0,0,8,1,8.5,0,8,1
2019/4/20,晴,8,1,0.0,0,8,1,11.7,0,8,1
2019/4/21,晴後一時曇,8,1,0,1,8,1,8.3,0,8,1
2019/4/22,晴一時曇,8,1,0.0,0,8,1,8.6,0,8,1
2019/4/23,晴時々曇,8,1,0.0,0,8,1,6.0,0,8,1
2019/4/24,曇時々雨,8,1,0.5,0,8,1,0.1,0,8,1
2019/4/25,雨後曇時々晴,8,1,6.0,0,8,1,3.6,0,8,1
2019/4/26,雨時々曇,8,1,4.5,0,8,1,0.0,0,8,1
2019/4/27,曇時々雨,8,1,12.5,0,8,1,0.4,0,8,1
2019/4/28,晴後一時曇,8,1,0,1,8,1,10.1,0,8,1
2019/4/29,曇,8,1,0.0,0,8,1,0.6,0,8,1
2019/4/30,雨,8,1,20.0,0,8,1,0.0,0,8,1
2019/5/1,曇時々晴後雨,8,1,19.0,0,8,1,3.8,0,8,1
2019/5/2,曇時々雨後晴、雷を伴う,8,1,1.5,0,8,1,5.8,0,8,1
2019/5/3,晴後一時曇,8,1,0,1,8,1,10.4,0,8,1
2019/5/4,晴後時々雨、雷を伴う,8,1,11.0,0,8,1,5.8,0,8,1
2019/5/5,晴,8,1,0,1,8,1,12.8,0,8,1
2019/5/6,曇一時雨時々晴,8,1,1.5,0,8,1,2.1,0,8,1
2019/5/7,晴後曇一時雨,8,1,0.0,0,8,1,4.3,0,8,1
2019/5/8,晴,8,1,0,1,8,1,13.2,0,8,1
2019/5/9,曇,8,1,0,1,8,1,0.5,0,8,1
2019/5/10,晴後一時曇,8,1,0,1,8,1,10.7,0,8,1
2019/5/11,晴,8,1,0,1,8,1,10.8,0,8,1
2019/5/12,晴時々曇,8,1,0.0,0,8,1,5.3,0,8,1
2019/5/13,曇一時雨後晴,8,1,2.0,0,8,1,4.4,0,8,1
2019/5/14,雨時々曇、雷を伴う,8,1,9.5,0,8,1,0.0,0,8,1
2019/5/15,曇一時雨後晴,8,1,0.0,0,8,1,7.3,0,8,1
2019/5/16,晴後一時雨,8,1,0.0,0,8,1,12.2,0,8,1
2019/5/17,晴,8,1,0,1,8,1,12.4,0,8,1
2019/5/18,曇時々晴,8,1,0.0,0,8,1,8.4,0,8,1
2019/5/19,晴時々曇,8,1,0,1,8,1,8.1,0,8,1
2019/5/20,曇時々晴,8,1,0.5,0,8,1,5.6,0,8,1
2019/5/21,大雨,8,1,93.0,0,8,1,0.0,0,8,1
2019/5/22,晴後時々曇,8,1,0,1,8,1,10.7,0,8,1
2019/5/23,晴,8,1,0,1,8,1,12.0,0,8,1
2019/5/24,晴,8,1,0,1,8,1,13.2,0,8,1
2019/5/25,晴,8,1,0,1,8,1,13.5,0,8,1
2019/5/26,晴一時曇,8,1,0,1,8,1,11.3,0,8,1
2019/5/27,晴,8,1,0,1,8,1,12.2,0,8,1
2019/5/28,雨時々曇,8,1,3.5,0,8,1,0.2,0,8,1
