,0,1,2,3,4,5,6,7,8,9
0,2020,1,27,0,8,35,36,keiiku,A1,336.0
1,2020,1,27,0,9,9,14,keiiku,A2,-46.0
2,2020,1,27,0,9,52,5,keiiku,A3,125.00000000000001
3,2020,1,27,0,10,31,15,keiiku,A4,75.0
4,2020,1,27,0,11,11,47,keiiku,A5,107.0
5,2020,1,27,0,11,52,17,keiiku,A6,137.0
6,2020,1,27,0,12,28,20,keiiku,A7,-100.0
7,2020,1,27,0,13,10,24,keiiku,A8,24.0
8,2020,1,27,0,13,49,6,keiiku,A9,-54.0
9,2020,1,27,0,14,31,17,keiiku,A10,77.0
10,2020,1,27,0,15,9,5,keiiku,A11,-55.0
11,2020,1,27,0,15,50,55,keiiku,A12,55.0
12,2020,1,27,0,16,39,42,keiiku,A13,-18.0
13,2020,1,28,1,8,30,55,keiiku,A1,55.0
14,2020,1,28,1,9,13,44,keiiku,A2,224.0
15,2020,1,28,1,9,49,25,keiiku,A3,-35.0
16,2020,1,28,1,10,31,28,keiiku,A4,88.0
17,2020,1,28,1,11,8,37,keiiku,A5,-83.0
18,2020,1,28,1,11,47,57,keiiku,A6,-123.00000000000001
19,2020,1,28,1,12,30,2,keiiku,A7,2.0
20,2020,1,28,1,13,7,15,keiiku,A8,-165.0
21,2020,1,28,1,13,50,57,keiiku,A9,57.0
22,2020,1,28,1,14,31,12,keiiku,A10,72.0
23,2020,1,28,1,15,14,39,keiiku,A11,279.0
24,2020,1,28,1,15,48,0,keiiku,A12,-120.00000000000001
25,2020,1,28,1,16,40,54,keiiku,A13,54.0
26,2020,1,29,2,8,30,11,keiiku,A1,11.0
27,2020,1,29,2,9,12,53,keiiku,A2,173.0
28,2020,1,29,2,9,54,58,keiiku,A3,298.0
29,2020,1,29,2,11,9,50,keiiku,A5,-10.0
30,2020,1,29,2,11,53,28,keiiku,A6,208.0
31,2020,1,29,2,12,32,13,keiiku,A7,133.0
32,2020,1,29,2,13,11,15,keiiku,A8,75.0
33,2020,1,29,2,13,51,54,keiiku,A9,114.0
34,2020,1,29,2,14,31,2,keiiku,A10,62.00000000000001
35,2020,1,29,2,15,11,13,keiiku,A11,73.0
36,2020,1,29,2,15,51,40,keiiku,A12,100.0
37,2020,1,30,3,8,32,8,keiiku,A1,128.0
38,2020,1,30,3,9,12,19,keiiku,A2,139.0
39,2020,1,30,3,9,51,44,keiiku,A3,104.0
40,2020,1,30,3,10,35,1,keiiku,A4,301.0
41,2020,1,30,3,11,13,56,keiiku,A5,236.00000000000003
42,2020,1,30,3,11,54,22,keiiku,A6,262.0
43,2020,1,30,3,12,30,33,keiiku,A7,33.0
44,2020,1,30,3,13,9,54,keiiku,A8,-6.0
45,2020,1,30,3,13,51,29,keiiku,A9,89.0
46,2020,1,30,3,14,29,0,keiiku,A10,-60.00000000000001
47,2020,1,30,3,15,14,33,keiiku,A11,273.0
48,2020,1,30,3,15,53,9,keiiku,A12,189.0
49,2020,1,30,3,16,44,57,keiiku,A13,297.0
50,2020,1,31,4,8,35,52,keiiku,A1,352.0
51,2020,1,31,4,9,13,5,keiiku,A2,185.0
52,2020,1,31,4,9,55,2,keiiku,A3,302.0
53,2020,1,31,4,10,31,56,keiiku,A4,116.00000000000001
54,2020,1,31,4,11,10,49,keiiku,A5,49.0
55,2020,1,31,4,12,27,58,keiiku,A7,-122.00000000000001
56,2020,1,31,4,13,9,38,keiiku,A8,-22.0
57,2020,1,31,4,13,52,10,keiiku,A9,130.0
58,2020,1,31,4,14,31,14,keiiku,A10,74.0
59,2020,1,31,4,15,13,16,keiiku,A11,196.0
60,2020,1,31,4,15,49,21,keiiku,A12,-39.0
61,2020,1,31,4,16,39,40,keiiku,A13,-20.0
