,0,1,2,3,4,5,6,7,8,9
0,2019,12,10,1,8,34,43,keiiku,A1,283.0
1,2019,12,10,1,9,13,38,keiiku,A2,218.0
2,2019,12,10,1,9,48,51,keiiku,A3,-69.0
3,2019,12,10,1,10,30,0,keiiku,A4,0.0
4,2019,12,10,1,11,11,49,keiiku,A5,109.0
5,2019,12,11,2,8,32,30,keiiku,A1,150.0
6,2019,12,11,2,9,7,33,keiiku,A2,-147.0
7,2019,12,11,2,9,50,16,keiiku,A3,16.0
8,2019,12,11,2,10,31,32,keiiku,A4,92.0
9,2019,12,11,2,11,11,42,keiiku,A5,102.0
10,2019,12,11,2,11,49,19,keiiku,A6,-41.0
11,2019,12,11,2,12,28,23,keiiku,A7,-97.0
12,2019,12,11,2,13,8,57,keiiku,A8,-63.00000000000001
13,2019,12,11,2,13,50,48,keiiku,A9,48.0
14,2019,12,11,2,14,31,12,keiiku,A10,72.0
15,2019,12,11,2,15,12,0,keiiku,A11,120.00000000000001
16,2019,12,11,2,15,50,22,keiiku,A12,22.0
17,2019,12,11,2,16,44,10,keiiku,A13,250.00000000000003
18,2019,12,12,3,8,32,40,keiiku,A1,160.0
19,2019,12,12,3,9,16,8,keiiku,A2,368.0
20,2019,12,12,3,9,52,47,keiiku,A3,167.0
21,2019,12,12,3,10,32,5,keiiku,A4,125.00000000000001
22,2019,12,12,3,11,9,37,keiiku,A5,-23.0
23,2019,12,12,3,11,52,58,keiiku,A6,178.0
24,2019,12,12,3,12,27,49,keiiku,A7,-131.0
25,2019,12,12,3,13,12,28,keiiku,A8,148.0
26,2019,12,12,3,13,51,39,keiiku,A9,99.0
27,2019,12,12,3,14,29,6,keiiku,A10,-54.0
28,2019,12,12,3,15,12,40,keiiku,A11,160.0
29,2019,12,12,3,15,48,33,keiiku,A12,-87.0
30,2019,12,12,3,16,41,53,keiiku,A13,113.0
31,2019,12,13,4,8,39,11,keiiku,A1,551.0
32,2019,12,13,4,9,12,22,keiiku,A2,142.0
33,2019,12,13,4,9,51,19,keiiku,A3,79.0
34,2019,12,13,4,10,31,27,keiiku,A4,87.0
35,2019,12,13,4,11,14,44,keiiku,A5,284.0
36,2019,12,13,4,11,54,56,keiiku,A6,296.0
37,2019,12,13,4,12,31,0,keiiku,A7,60.00000000000001
38,2019,12,13,4,13,12,55,keiiku,A8,175.0
39,2019,12,13,4,13,52,2,keiiku,A9,122.00000000000001
40,2019,12,13,4,14,32,56,keiiku,A10,176.0
41,2019,12,13,4,15,8,17,keiiku,A11,-103.0
42,2019,12,13,4,15,54,13,keiiku,A12,253.00000000000003
43,2019,12,13,4,16,45,9,keiiku,A13,309.0
44,2019,12,16,0,8,33,45,keiiku,A1,225.0
45,2019,12,16,0,9,13,5,keiiku,A2,185.0
46,2019,12,16,0,9,50,57,keiiku,A3,57.0
47,2019,12,16,0,10,34,7,keiiku,A4,247.00000000000003
48,2019,12,16,0,11,14,18,keiiku,A5,258.0
49,2019,12,16,0,11,54,1,keiiku,A6,241.00000000000003
50,2019,12,16,0,12,27,3,keiiku,A7,-177.0
51,2019,12,16,0,13,11,57,keiiku,A8,117.00000000000001
52,2019,12,16,0,13,48,14,keiiku,A9,-106.0
53,2019,12,16,0,14,27,8,keiiku,A10,-172.0
54,2019,12,16,0,15,9,21,keiiku,A11,-39.0
55,2019,12,16,0,15,52,58,keiiku,A12,178.0
56,2019,12,16,0,16,40,15,keiiku,A13,15.000000000000002
57,2019,12,17,1,8,37,14,keiiku,A1,434.0
58,2019,12,17,1,9,14,26,keiiku,A2,266.0
59,2019,12,17,1,9,55,18,keiiku,A3,318.0
60,2019,12,17,1,10,34,8,keiiku,A4,248.00000000000003
61,2019,12,17,1,11,14,11,keiiku,A5,251.00000000000003
62,2019,12,17,1,11,53,22,keiiku,A6,202.0
63,2019,12,17,1,12,30,55,keiiku,A7,55.0
64,2019,12,17,1,13,8,28,keiiku,A8,-92.0
65,2019,12,17,1,13,51,54,keiiku,A9,114.0
